playerID,AVG,EAR,FPCT,Salaries
defraju01,25,4.0824742268,81,257000
degroja01,20,2.60764587525,100,306875
delarjo01,12,4.55150884495,94,4771375
delarru01,11,4.51239669421,95,249250
delgara01,18,4.09229466554,97,252750
desclan01,14,4.38284839204,95,257500
despaod01,3,4.74324324324,95,267300
detwiro01,6,4.19962216625,98,1684500
diamosc01,14,4.43440233236,96,280000
doubrfe01,9,4.88838416613,93,223166
dukeza01,17,4.40542035398,97,1660555
dumatph01,3,6.19867549669,100,146000
dunnmi01,20,3.55723542117,88,777300
durbijd01,26,6.19266055046,100,130000
elbersc01,16,3.53793103448,100,281750
enrigba01,22,5.56950672646,100,168000
eovalna01,8,4.10200759631,97,1189666
erlinro01,7,4.6015037594,94,254500
estrama01,15,3.95152354571,98,2166500
evelada01,4,5.27244094488,98,158166
feldmsc01,16,4.42487479132,95,4469653
fernajo02,19,2.39792387543,97,393000
fiersmi01,8,3.60891089109,88,255250
fifest01,11,3.65934065934,100,242500
fistedo01,15,3.42370279398,95,3741750
floydga01,6,4.37817883511,95,3154600
foltymi01,7,5.63924050633,90,258750
foppeje01,8,5.00272479564,94,62000
fordma01,14,4.32824427481,87,50000
francje01,11,4.97056545314,99,1925375
francje02,26,9.0,98,2705222
friedch01,9,5.80876494024,85,262500
gabbaka01,25,4.52760736196,97,146390
gallayo01,19,3.65822212169,97,5221000
garcija01,25,3.1509054326,93,2319523
garcija02,14,3.30510814542,96,3676714
garcile02,18,9.0,96,247750
garzama01,8,3.99308498773,90,6610987
gaudich01,3,4.44440015943,92,525357
geedi01,10,4.02747791953,96,2238593
germaju01,14,5.4,100,160050
gibsoky01,22,4.42588235294,99,270000
gomezje01,15,4.16037735849,97,324300
gonzaed01,16,5.91847826087,95,149250
gonzaen01,28,5.80709534368,96,162500
gonzagi01,8,3.6151818661,96,4754166
gorzeto01,9,4.3433005299,92,1425625
grayso01,12,2.87780040733,97,257500
greinza01,21,3.34707192871,98,9977545
guzmaan01,9,4.8152866242,97,257875
haegech01,9,6.39759036145,100,161000
hahnje01,8,3.22941176471,97,257500
haleda02,6,4.38113207547,100,252500
halljo03,16,6.56756756757,100,50000
halsebr01,8,4.84051222352,91,81750
hamelco01,17,3.31186889588,96,11183333
hammeja01,13,4.49214267897,96,4292328
handbr01,7,4.707852194,98,260000
hanrajo01,23,3.84761120264,91,2052166
hansoto01,5,3.80084745763,89,1037875
happja01,8,4.13265306122,97,2507000
harderi01,14,3.76157989228,94,3119500
harenda01,20,3.75299628048,97,7152136
harrelu01,15,4.8398340249,97,241350
hartke01,13,5.26462395543,97,154750
harvema01,12,2.52927400468,97,306437
hefneje01,3,4.65378900446,100,250625
hellije01,21,3.93893129771,96,1171475
hendrky01,7,3.49167733675,100,260000
hennebr01,22,4.69131238447,98,750000
hernaca03,15,4.53515625,100,10000
hernada01,25,4.14883346742,93,690000
hernafe02,10,3.11492559305,96,10947114
hillri01,12,4.536,89,353000
hillsh01,6,4.68595041322,93,177333
hirshja01,6,5.32394366197,94,138500
hochelu01,6,5.02466367713,96,2868000
howeljp01,18,3.74193548387,99,1741387
hudsoda01,22,3.76605166052,94,324333
